,,,,,,,,,,,,,,
,指令,opcode,funct3,funct7,控制信号,,,,,,,,,
,,,,,pc_sel,npc_op,br_sel,rf_we,rf_wsel,sext_op,alu_op,alub_sel,ram_we,
,add,0110011,000,0000000,PC_NPC,NPC_PC4,-,RF_WE,RF_ALUC,SEXT_R,ALU_ADD,ALUB_RS2,RAM_NO,
,sub,0110011,000,0100000,PC_NPC,NPC_PC4,-,RF_WE,RF_ALUC,SEXT_R,ALU_SUB,ALUB_RS2,RAM_NO,
,and,0110011,111,0000000,PC_NPC,NPC_PC4,-,RF_WE,RF_ALUC,SEXT_R,ALU_AND,ALUB_RS2,RAM_NO,
,or,0110011,110,0000000,PC_NPC,NPC_PC4,-,RF_WE,RF_ALUC,SEXT_R,ALU_OR,ALUB_RS2,RAM_NO,
,xor,0110011,100,0000000,PC_NPC,NPC_PC4,-,RF_WE,RF_ALUC,SEXT_R,ALU_XOR,ALUB_RS2,RAM_NO,
,sll,0110011,001,0000000,PC_NPC,NPC_PC4,-,RF_WE,RF_ALUC,SEXT_R,ALU_SLL,ALUB_RS2,RAM_NO,
,srl,0110011,101,0000000,PC_NPC,NPC_PC4,-,RF_WE,RF_ALUC,SEXT_R,ALU_SRL,ALUB_RS2,RAM_NO,
,sra,0110011,101,0100000,PC_NPC,NPC_PC4,-,RF_WE,RF_ALUC,SEXT_R,ALU_SRA,ALUB_RS2,RAM_NO,
,slt,0110011,010,0000000,PC_NPC,NPC_PC4,BR_SIGN,RF_WE,RF_ALUF,SEXT_R,ALU_SLT,ALUB_RS2,RAM_NO,
,sltu,0110011,011,0000000,PC_NPC,NPC_PC4,BR_SIGN,RF_WE,RF_ALUF,SEXT_R,ALU_SLTU,ALUB_RS2,RAM_NO,
,addi,0010011,000,-,PC_NPC,NPC_PC4,-,RF_WE,RF_ALUC,SEXT_I,ALU_ADD,ALUB_EXT,RAM_NO,
,andi,0010011,111,-,PC_NPC,NPC_PC4,-,RF_WE,RF_ALUC,SEXT_I,ALU_AND,ALUB_EXT,RAM_NO,
,ori,0010011,110,-,PC_NPC,NPC_PC4,-,RF_WE,RF_ALUC,SEXT_I,ALU_OR,ALUB_EXT,RAM_NO,
,xori,0010011,100,-,PC_NPC,NPC_PC4,-,RF_WE,RF_ALUC,SEXT_I,ALU_XOR,ALUB_EXT,RAM_NO,
,slli,0010011,001,0000000,PC_NPC,NPC_PC4,-,RF_WE,RF_ALUC,SEXT_I,ALU_SLL,ALUB_EXT,RAM_NO,
,srli,0010011,101,0000000,PC_NPC,NPC_PC4,-,RF_WE,RF_ALUC,SEXT_I,ALU_SRL,ALUB_EXT,RAM_NO,
,srai,0010011,101,0100000,PC_NPC,NPC_PC4,-,RF_WE,RF_ALUC,SEXT_I,ALU_SRA,ALUB_EXT,RAM_NO,
